4951,Company,Industry,Industry-Sub,Location,Year,Notes/References,Glassdoor Overall Star Rating (out of 5),Glassdoor Reviews Total,Indeed Overall Star Rating (out of 5),Indeed Reviews Total,Comparably Overall Star Rating,Comparably Reviews Total,,,,
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",1972,"Glassdoor source: https://www.glassdoor.com/Reviews/Carnival-Corporation-and-plc-Reviews-E806.htm
Indeed source: https://www.indeed.com/cmp/Carnival-Cruise-Line/reviews
Comparably source: https://www.comparably.com/companies/carnival-corporation",3.8,1111,4.1,2502,3,379,,,,
CDW,CDW,Information Technology,Technology Distributors,"Lincolnshire, Illinois",1984,"Glassdoor source: https://www.glassdoor.com/Reviews/CDW-Reviews-E2347.htm
Indeed source: https://www.indeed.com/cmp/Cdw/reviews
Comparably source: https://www.comparably.com/companies/cdw-corporation",3.9,3731,3.7,1002,4,1544,,,,
CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",1993,"Glassdoor source: https://www.glassdoor.com/Reviews/Spectrum-Reviews-E1500006.htm
Indeed source: https://www.indeed.com/cmp/Spectrum-1/reviews
Comparably source: https://www.comparably.com/companies/spectrum",3.3,14157,3.3,20026,2.7,10693,,,,
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",1993,"Glassdoor source: https://www.glassdoor.com/Reviews/Chipotle-Reviews-E15228.htm
Indeed source: https://www.indeed.com/cmp/Chipotle-Mexican-Grill/reviews
Comparably source: https://www.comparably.com/companies/chipotle",3.4,17533,3.5,17900,4.1,14505,,,,
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",1847,"Glassdoor source: https://www.glassdoor.com/Reviews/Church-and-Dwight-Reviews-E1254.htm
Indeed source: https://www.indeed.com/cmp/Church-&-Dwight-Co./reviews
Comparably source: https://www.comparably.com/companies/church-dwight-company",3.6,489,3.4,697,3.5,453,,,,
CSCO,Cisco,Information Technology,Communications Equipment,"San Jose, California",1984,"Glassdoor source: https://www.glassdoor.com/Reviews/Cisco-Systems-Reviews-E1425.htm 
Indeed source: https://www.indeed.com/cmp/Cisco-Systems-582836a8/reviews
Comparably source: https://www.comparably.com/companies/cisco",4.3,28826,4.1,4357,4.4,12642,,,,
CLX,Clorox,Consumer Staples,Household Products,"Oakland, California",1913,"Glassdoor source: https://www.glassdoor.com/Reviews/The-Clorox-Company-Reviews-E158.htm
Indeed source: https://www.indeed.com/cmp/The-Clorox-Company/reviews
Comparably source: https://www.comparably.com/companies/clorox-company/reviews",3.6,1301,3.9,915,4.2,319,,,,
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia",1886,"Glassdoor source: https://www.glassdoor.com/Reviews/The-Coca-Cola-Company-Reviews-E161.htm
Indeed source: https://www.indeed.com/cmp/The-Coca--cola-Company/reviews 
Comparably source: https://www.comparably.com/companies/the-coca-cola-company/reviews",4.1,6463,3.8,9243,3.7,10571,,,,
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",1994,"Glassdoor source: https://www.glassdoor.com/Reviews/Cognizant-Technology-Solutions-Reviews-E8014.htm
Indeed source: https://www.indeed.com/cmp/Cognizant-Technology-Solutions/reviews
Comparably source: https://www.comparably.com/companies/cognizant",3.8,97502,3.9,4354,3.2,9583,,,,
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York City, New York",1806,"Glassdoor source: https://www.glassdoor.com/Reviews/Colgate-Palmolive-Reviews-E162.htm
Indeed source: https://www.indeed.com/cmp/Colgate--palmolive/reviews
Comparably source:  https://www.comparably.com/companies/colgate-palmolive",4.2,2103,4.3,2683,4.6,1374,,,,
CMCSA,Comcast,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",1963,"Glassdoor source: https://www.glassdoor.com/Reviews/Comcast-Reviews-E1280.htm
Indeed source: https://www.indeed.com/cmp/Comcast/reviews
https://www.comparably.com/companies/comcast
Comparably source: https://www.comparably.com/companies/comcast",3.8,15507,3.6,18718,4,9923,,,,
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",1919,"Glassdoor source: https://www.glassdoor.com/Reviews/Conagra-Brands-Reviews-E172.htm
Indeed source: https://www.indeed.com/cmp/Conagra-Brands-2/reviews
Comparably source: https://www.comparably.com/companies/conagra-brands/reviews",3.8,1686,3.5,1843,3.9,1184,,,,
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Victor, New York",1945,"Glassdoor source: https://www.glassdoor.com/Reviews/Constellation-Brands-Reviews-E805.htm
Indeed source: https://www.indeed.com/cmp/Constellation-Brands/reviews
Comparably source: https://www.comparably.com/companies/constellation-brands",4.2,520,3.8,278,3.8,639,,,,
GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1851,"Glassdoor source: https://www.glassdoor.com/Reviews/Corning-Reviews-E183.htm
Indeed source: https://www.indeed.com/cmp/Corning-Incorporated/reviews
Comparably source: https://www.comparably.com/companies/corning",3.7,1682,3.4,71,3.8,1223,,,,
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,"Issaquah, Washington",1976,"Glassdoor source: https://www.glassdoor.com/Reviews/Costco-Wholesale-Reviews-E2590.htm
Indeed source: https://www.indeed.com/cmp/Costco-Wholesale/reviews
Comparably source: https://www.comparably.com/companies/costco",3.9,15533,4,16458,4.7,21476,,,,
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",1938,"Glassdoor Source: https://www.glassdoor.com/Reviews/Darden-Reviews-E4160.htm
Indeed source: https://www.indeed.com/cmp/Darden-Restaurants/reviews
Comparably source: https://www.comparably.com/companies/darden-restaurants/reviews",3.9,2575,3.8,1881,3.7,2861,,,,
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,"Goodlettsville, Tennessee",1939,"Glassdoor source:  https://www.glassdoor.com/Reviews/Dollar-General-Reviews-E1342.htm
Indeed source: https://www.indeed.com/cmp/Dollar-General/reviews
Comparably source: https://www.comparably.com/companies/dollar-general/reviews",2.7,13718,3,38463,2.6,40911,,,,
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,"Chesapeake, Virginia",1986,"Glassdoor source: https://www.glassdoor.com/Reviews/Dollar-Tree-Reviews-E4033.htm
Indeed source: https://www.indeed.com/cmp/Dollar-Tree/reviews
Comparably source: https://www.comparably.com/companies/dollar-tree/reviews",3,8379,3.3,25428,2.9,26799,,,,
DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",1960,"Glassdoor source: https://www.glassdoor.com/Reviews/Domino-s-Reviews-E2770.htm
Indeed source: https://www.indeed.com/cmp/Domino's/reviews
Comparably source: https://www.comparably.com/companies/dominos-pizza",3.5,15628,3.4,36223,3.6,12808,,,,
DHI,DR Horton,Consumer Discretionary,Homebuilding,"Arlington, Texas",1978,"Glassdoor source: https://www.glassdoor.com/Reviews/D-R-Horton-Reviews-E2195.htm
Indeed source: https://www.indeed.com/cmp/D.r.-Horton/reviews
Comparably source: https://www.comparably.com/companies/d-r-horton",3.7,911,3.4,696,4.2,960,,,,
EBAY,eBay,Consumer Discretionary,Broadline Retail,"San Jose, California",1995,"Glassdoor source: https://www.glassdoor.com/Reviews/eBay-Reviews-E7853.htm
Indeed source: https://www.indeed.com/cmp/Ebay/reviews
Comparably source: https://www.comparably.com/companies/ebay",4,4834,4,2452,4.1,5538,,,,
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",1982,"Glassdoor source: https://www.glassdoor.com/Reviews/Electronic-Arts-Reviews-E1628.htm
Indeed source: https://www.indeed.com/cmp/Electronic-Arts/reviews
Comparably source: https://www.comparably.com/companies/electronic-arts-e/reviews",4,3343,3.8,628,4,3654,,,,
ENPH,Enphase,Information Technology,Semiconductor Materials & Equipment,"Fremont, California",2006,"Glassdoor source: https://www.glassdoor.com/Reviews/Enphase-Energy-Reviews-E370454.htm
Indeed source: https://www.indeed.com/cmp/Enphase-Energy/reviews
Comparably source: https://www.comparably.com/companies/enphase-energy/reviews",3.3,411,3.2,88,2.7,940,,,,
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,"Newtown, Pennsylvania",1993,"Glassdoor source: https://www.glassdoor.com/Reviews/EPAM-Systems-Reviews-E15544.htm
Indeed source: https://www.indeed.com/cmp/Epam-Systems/reviews
Comparably source: https://www.comparably.com/companies/epam-systems/reviews/compensation",4.1,6455,3.8,435,4.4,6793,,,,
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,"New York City, New York",1946,"Glassdoor source: https://www.glassdoor.com/Reviews/Est%C3%A9e-Lauder-Companies-Reviews-E2785.htm
Indeed source: https://www.indeed.com/cmp/The-Est%C3%A9e-Lauder-Companies-1/reviews
Comparably source: https://www.comparably.com/companies/estee-lauder-companies/reviews",3.8,3530,4,2530,4.5,3823,,,,
ETSY,Etsy,Consumer Discretionary,Broadline Retail,"New York City, New York",2005,"Glassdoor source: https://www.glassdoor.com/Reviews/Etsy-Reviews-E42751.htm
Indeed source: https://www.indeed.com/cmp/Etsy/reviews
Comparably source: https://www.comparably.com/companies/etsy",4,397,4.3,130,3.6,1142,,,,
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Seattle, Washington",1996,"Glassdoor source: https://www.glassdoor.com/Reviews/Expedia-Group-Reviews-E9876.htm
Indeed source: https://www.indeed.com/cmp/Expedia-Group/reviews
Comparably source: https://www.comparably.com/companies/expedia/reviews",3.9,6341,3.8,1143,4,5919,,,,
FFIV,"F5, Inc.",Information Technology,Communications Equipment,"Seattle, Washington",1996,"Glassdoor source: https://www.glassdoor.com/Reviews/F5-Reviews-E9222.htm
Indeed source: https://www.indeed.com/cmp/F5-8/reviews
Comparably source: https://www.comparably.com/companies/f5-networks/reviews",3.9,1650,4,140,4.1,2133,,,,
FICO,Fair Isaac,Information Technology,Application Software,"Bozeman, Montana",1956,"Glassdoor source: https://www.glassdoor.com/Reviews/FICO-Reviews-E1387.htm
Indeed source: https://www.indeed.com/cmp/Fico/reviews
Comparably source: https://www.comparably.com/companies/fico",4,1442,3.6,196,3.8,593,,,,
